group,temp_col,Topt,a,b,c,n,rmse,aic,best
ZC1-EUP,Temp_0to10m,11.959421662317991,0.09474696900140822,0.005965503436412147,0.7510751718518682,14,0.10982007506985576,-53.84953413967546,True
ZC1-EUP,Temp_30to40m,29.99998952088904,0.007990726212466989,0.413901453802227,56.8969159525685,9,0.37287588124591187,-9.757174109831617,False
ZC2-AMP,Temp_0to10m,17.879087660716827,0.013270931298350152,0.9999999999999999,1.9728472992117623,15,0.1619665646982344,-46.61096067408684,True
ZC2-AMP,Temp_30to40m,5.420953472117678,0.020026966356291538,3.1090581037997925e-13,1.2658468204119249,9,0.19509796666800447,-21.41656216131399,False
ZC3-DEC,Temp_0to10m,9.739198259099172,0.07992281196161322,0.0030528078224770754,0.2425331384844174,14,0.06941510997860476,-66.69421993972254,True
ZC3-DEC,Temp_30to40m,1.423285155505154,0.9999999998966845,0.017962927591602333,0.3006032967030815,9,0.05720525479459648,-43.49997131999505,False
ZC4-CLG,Temp_0to10m,16.8022277146409,0.010386023512514012,0.020502401514956848,1.492478755449755,15,0.24493988838378777,-34.20227356231219,True
ZC4-CLG,Temp_30to40m,6.796389424980365,0.03658007751404663,0.14226223658735013,1.6382054171619607,9,0.1369782306117492,-27.78279879563602,False
ZC5-CSM,Temp_0to10m,18.873461204559216,0.005111979663884129,0.9949999999999999,1.6021384076498724,15,0.16794887107861467,-45.52287054151313,True
ZC5-CSM,Temp_30to40m,29.999914189385606,0.0015039095633161937,0.7199262555514203,3.470492402615332,9,0.22883183309390326,-18.545822172983705,False
ZS2-CTH,Temp_0to10m,14.297435217639022,0.038236080314919346,0.023198216040145807,0.12024761484440609,15,0.012768898164727654,-122.8222868730092,True
ZS2-CTH,Temp_30to40m,6.5704302648650925,0.012447581958882284,0.251706380693896,0.08606356943766127,9,0.01954222322401215,-62.83320149337224,False
ZS3-CHA,Temp_0to10m,17.748380557425037,0.009250265491718767,0.9999999999998852,0.8764339001058157,15,0.11212538850716774,-57.64412480986931,True
ZS3-CHA,Temp_30to40m,4.854476309433231,0.04327030690650631,0.010022374745134543,0.6875136557700587,9,0.04718119807333083,-46.967676609797934,False
ZS4-LAR,Temp_0to10m,8.517523178852207,0.9999999999981127,0.006228260538118341,0.04989172050780015,14,0.013887561863368045,-111.74932674371382,True
ZS4-LAR,Temp_30to40m,29.999776491739677,0.0005947774306408558,0.030737531620284517,0.04823369679247539,9,0.009677264812276192,-75.48356761006097,False
